Student_ID,Name,Age,Gender,Attendance,Study_Hours,Assignments,Internal_Marks,Previous_GPA,Internet_Usage,Extracurricular,Result
1,Rahul1,22,Male,81,8,3,38,5.82,8,No,Pass
2,Sneha2,22,Female,74,7,4,84,7.16,1,No,Pass
3,Amit3,22,Male,52,8,3,87,9.24,7,No,Pass
4,Anjali4,20,Female,74,5,7,67,6.68,6,No,Pass
5,Kiran5,20,Male,95,8,5,84,9.12,7,Yes,Pass
6,Divya6,20,Female,88,6,4,47,5.25,2,Yes,Pass
7,Ravi7,20,Male,99,2,5,42,9.06,1,Yes,Pass
8,Pooja8,19,Female,73,8,6,67,7.33,5,No,Pass
9,Arjun9,20,Male,95,5,3,93,9.85,7,No,Pass
10,Meena10,21,Female,100,1,9,99,4.94,3,No,Pass
11,Vikram11,22,Male,97,1,9,83,7.16,2,No,Pass
12,Kavya12,22,Female,65,4,5,30,7.67,2,Yes,Fail
13,Suresh13,20,Male,83,4,3,40,5.34,3,Yes,Fail
14,Nisha14,22,Female,89,3,10,37,7.13,1,Yes,Pass
15,Rohan15,20,Male,53,6,3,88,8.97,4,No,Pass
16,Deepa16,21,Female,56,5,6,71,8.17,7,Yes,Pass
17,Ajay17,19,Male,85,1,8,40,7.48,4,Yes,Fail
18,Swathi18,19,Female,86,2,6,94,8.51,7,No,Pass
19,Manoj19,18,Male,55,2,5,64,6.98,7,No,Fail
20,Lakshmi20,20,Female,52,5,4,73,8.86,6,Yes,Pass
21,Akash21,20,Male,60,5,5,46,8.9,1,Yes,Pass
22,Bhavya22,19,Female,77,5,10,94,8.82,8,No,Pass
23,Sai23,18,Male,96,8,7,30,6.98,3,No,Pass
24,Anusha24,21,Female,62,6,8,95,8.06,2,No,Pass
25,Teja25,20,Male,86,8,4,72,7.19,8,No,Pass
26,Keerthi26,19,Female,80,5,3,76,5.53,1,No,Pass
27,Charan27,22,Male,66,2,9,68,4.65,1,Yes,Pass
28,Sandhya28,21,Female,96,5,4,61,7.63,6,Yes,Pass
29,Venu29,22,Male,78,6,4,52,4.8,7,No,Pass
30,Harini30,23,Female,90,4,8,41,7.12,5,No,Pass
31,Gopi31,20,Male,53,4,8,83,5.25,7,No,Pass
32,Sruthi32,21,Female,51,6,5,98,7.69,1,No,Pass
33,Naveen33,23,Male,89,2,5,57,5.12,3,No,Pass
34,Aparna34,21,Female,65,8,6,50,5.7,1,No,Pass
35,Ramesh35,20,Male,79,2,7,78,6,2,No,Pass
36,Shalini36,21,Female,54,5,6,32,8.64,2,Yes,Pass
37,Pradeep37,19,Male,70,2,7,58,5.79,5,No,Pass
38,Mounika38,21,Female,89,7,10,63,6.75,3,Yes,Pass
39,Tarun39,18,Male,70,6,10,60,7.26,4,Yes,Pass
40,Priya40,18,Female,89,2,5,71,8.29,5,No,Pass
41,Rahul41,22,Male,85,3,8,68,6.62,7,Yes,Pass
42,Sneha42,21,Female,84,5,8,37,7.03,5,No,Pass
43,Amit43,20,Male,99,1,4,36,6.78,2,Yes,Fail
44,Mounika,18,Female,80,4,5,47,7.08,3,Yes,Pass
45,Kiran45,23,Male,75,4,4,63,5.71,5,Yes,Pass
46,Divya46,19,Female,86,2,3,66,6.13,1,No,Pass
47,Ravi47,23,Male,54,5,7,84,9.79,4,No,Pass
48,Pooja48,18,Female,69,3,10,98,6.55,7,No,Pass
49,Arjun49,18,Male,50,6,7,33,7.54,5,Yes,Pass
50,Meena50,20,Female,63,4,5,91,7.84,6,No,Pass
51,Vikram51,19,Male,82,2,5,75,8.72,8,Yes,Pass
52,Kavya52,19,Female,99,7,3,38,5.61,2,No,Pass
53,Suresh53,19,Male,87,5,7,79,9.2,6,Yes,Pass
54,Nisha54,18,Female,85,1,7,32,7.57,3,No,Fail
55,Rohan55,18,Male,63,4,4,60,8.34,4,Yes,Pass
56,Deepa56,22,Female,70,3,4,68,5.55,2,Yes,Pass
57,Ajay57,21,Male,97,8,5,55,5.12,1,Yes,Pass
58,Swathi58,22,Female,52,2,6,85,6.21,6,No,Pass
59,Manoj59,23,Male,69,4,10,97,7.64,4,No,Pass
60,Lakshmi60,18,Female,59,7,4,65,6.34,6,Yes,Pass
61,Akash61,19,Male,77,8,6,69,9.17,6,Yes,Pass
62,Bhavya62,21,Female,87,4,6,30,9.69,4,Yes,Pass
63,Sai63,23,Male,52,1,3,54,6.24,4,No,Fail
64,Anusha64,23,Female,74,2,9,33,7.79,1,Yes,Fail
65,Teja65,22,Male,97,8,9,86,6.99,6,Yes,Pass
66,Keerthi66,21,Female,73,2,9,77,8.01,7,Yes,Pass
67,Charan67,22,Male,61,3,9,90,5.24,1,No,Pass
68,Sandhya68,19,Female,94,6,6,67,5.79,6,Yes,Pass
69,Venu69,18,Male,68,1,7,93,7.49,8,No,Pass
70,Harini70,20,Female,66,7,4,37,5.92,2,Yes,Pass
71,Gopi71,20,Male,79,4,4,41,7.66,3,Yes,Pass
72,Sruthi72,19,Female,81,7,10,59,7.02,7,Yes,Pass
73,Naveen73,21,Male,99,2,7,89,4.96,6,No,Pass
74,Aparna74,19,Female,83,4,6,65,4.81,8,Yes,Pass
75,Ramesh75,22,Male,59,4,7,56,5.01,7,Yes,Pass
76,Shalini76,19,Female,51,2,10,71,5.3,2,Yes,Pass
77,Pradeep77,21,Male,72,7,5,72,5.91,7,Yes,Pass
78,Mounika78,23,Female,58,1,3,57,4.7,2,Yes,Fail
79,Tarun79,18,Male,57,5,10,40,6.08,5,No,Pass
80,Priya80,21,Female,81,1,3,56,6.71,8,No,Fail
81,Rahul81,20,Male,62,4,8,42,9.62,4,Yes,Pass
82,Sneha82,20,Female,89,6,6,38,4.67,7,Yes,Pass
83,Amit83,20,Male,77,2,4,60,6.54,4,No,Pass
84,Anjali84,18,Female,52,8,6,46,5.71,5,Yes,Pass
85,Kiran85,18,Male,72,1,4,97,6.37,3,Yes,Pass
86,Divya86,23,Female,95,4,9,33,7.99,8,Yes,Pass
87,Ravi87,23,Male,62,8,8,98,9.66,8,No,Pass
88,Pooja88,22,Female,53,1,9,55,7.3,7,No,Fail
89,Arjun89,23,Male,67,2,3,47,5.11,1,Yes,Fail
90,Meena90,18,Female,97,3,4,76,9.9,1,Yes,Pass
91,Vikram91,21,Male,53,5,4,66,8.73,5,Yes,Pass
92,Kavya92,23,Female,89,5,8,62,7.07,5,No,Pass
93,Suresh93,18,Male,100,4,9,36,6.71,5,No,Pass
94,Nisha94,18,Female,92,2,8,64,5.82,5,No,Pass
95,Rohan95,20,Male,84,2,5,53,4.56,8,Yes,Fail
96,Deepa96,19,Female,68,1,3,54,6.71,2,No,Fail
97,Ajay97,18,Male,57,3,3,34,5.49,3,No,Fail
98,Swathi98,20,Female,86,4,8,78,7.85,4,Yes,Pass
99,Manoj99,20,Male,63,7,3,88,5.59,4,No,Pass
100,Lakshmi100,23,Female,100,7,10,81,9.34,6,Yes,Pass
101,Akash101,21,Male,69,3,5,52,7.68,6,No,Pass
102,Bhavya102,18,Female,81,5,8,68,5.9,7,Yes,Pass
103,Sai103,20,Male,68,3,9,65,6.84,6,No,Pass
104,Anusha104,20,Female,75,1,7,46,7.15,8,No,Fail
105,Teja105,22,Male,68,4,3,32,5.29,1,Yes,Fail
